Year,Female_Population
1960,1074999
1961,1099630
1962,1124969
1963,1151002
1964,1177722
1965,1205244
1966,1233457
1967,1262425
1968,1292391
1969,1323257
1970,1355114
1971,1388065
1972,1421979
1973,1456655
1974,1490881
1975,1522925
1976,1551730
1977,1577770
1978,1603070
1979,1630063
1980,1660882
1981,1696411
1982,1736451
1983,1780139
1984,1826793
1985,1876227
1986,1928218
1987,1982475
1988,2038768
1989,2096811
1990,2156074
1991,2216230
1992,2276927
1993,2337824
1994,2397961
1995,2456528
1996,2513639
1997,2566184
1998,2613956
1999,2660061
2000,2704952
2001,2749003
2002,2792055
2003,2833564
2004,2873441
2005,2915416
2006,2960629
2007,3006220
2008,3051630
2009,3096726
2010,3141557
2011,3186018
2012,3230068
2013,3273809
2014,3317084
2015,3364007
2016,3415910
2017,3469110
2018,3522442
2019,3575847
2020,3629574
2021,3682483
2022,3734796
